iter	RMSE
0	0.893132841
1	0.8670993197
2	0.8412474504
3	0.8167927163
4	0.7940083291
5	0.7731548405
6	0.7529840101
7	0.7333675661
8	0.7147214401
9	0.6981035051
10	0.6816301397
11	0.6656566144
12	0.6503244386
13	0.6365208853
14	0.6234943806
15	0.6112715379
16	0.598978677
17	0.5875060142
18	0.5768390134
19	0.5667478925
20	0.5570760236
21	0.5478480701
22	0.5394511798
23	0.5310299553
24	0.5234077643
25	0.5159517475
26	0.5095549024
27	0.5030732532
28	0.4969554084
29	0.4911024525
30	0.48591632
31	0.4806330685
32	0.4756980757
33	0.4713839383
34	0.4672356334
35	0.4629838697
36	0.4592084661
37	0.4558933523
38	0.4521511933
39	0.4482889657
40	0.445070768
41	0.4417868019
42	0.4392879268
43	0.436636949
44	0.4339946843
45	0.4316876993
46	0.4292589903
47	0.4271706471
48	0.4250104206
49	0.4228917058
50	0.4205022781
51	0.4183754212
52	0.4163931455
53	0.4145828837
54	0.4130554367
55	0.4115175392
56	0.4101331731
57	0.4085305587
58	0.4068206671
59	0.4054213656
60	0.404111488
61	0.4026584588
62	0.4013335839
63	0.4001778893
64	0.3992074984
65	0.398205841
66	0.3972611582
67	0.3960727287
68	0.3950571096
69	0.3939944528
70	0.3930592379
71	0.3920527519
72	0.391178541
73	0.3902822008
74	0.3890812926
75	0.3882479808
76	0.3875415628
77	0.3868235012
78	0.3858968029
79	0.3850591958
80	0.3844569268
81	0.3838199856
82	0.3830878987
83	0.3825973371
84	0.3818665178
85	0.3811171366
86	0.3802628552
87	0.3794623083
88	0.3788922555
89	0.3780438743
90	0.37733302
91	0.3767063416
92	0.3760813156
93	0.3755323793
94	0.3749570732
95	0.3742612708
96	0.3736863654
97	0.3731038836
98	0.3727161179
99	0.3722447646
100	0.3717470584
101	0.3715629421
102	0.371054028
103	0.3705233795
104	0.3700713882
105	0.369627984
106	0.3691876824
107	0.3686769942
108	0.3683065755
109	0.3679941625
110	0.3677047982
111	0.3672285271
112	0.3668941644
113	0.3664481418
114	0.365992831
115	0.3656563008
116	0.3652911504
117	0.3648112643
118	0.3644867635
119	0.363998058
120	0.3637358346
121	0.3633945409
122	0.3630586843
123	0.3627320108
124	0.3624649732
125	0.3622386875
126	0.3619257339
127	0.3617263069
128	0.3614514581
129	0.3610717482
130	0.3607163941
131	0.3604109161
132	0.3600380682
133	0.3597138975
134	0.3594877525
135	0.3591957823
136	0.3589632942
137	0.3587125236
138	0.3584704604
139	0.358220115
140	0.357965984
141	0.3576792254
142	0.3573968834
143	0.357170791
144	0.356914712
145	0.3566797446
146	0.3564743077
147	0.3562818272
148	0.356058358
149	0.3557971825
150	0.3554293348
151	0.3552286238
152	0.3550317996
153	0.3547620627
154	0.354547877
155	0.3543334033
156	0.3541027414
157	0.3538879191
158	0.3536094746
159	0.3534234797
160	0.3532744601
161	0.3530576599
162	0.3528338115
163	0.3526602184
164	0.3525006819
165	0.3523430478
166	0.3521327828
167	0.3518760816
168	0.3516045621
169	0.3513809756
170	0.3512578944
171	0.3510822383
172	0.3508777529
173	0.3506362195
174	0.3504970878
175	0.3503416674
176	0.3501773251
177	0.350005733
178	0.3498286875
179	0.3496055854
180	0.3494912149
181	0.3493000148
182	0.3491069482
183	0.3489284703
184	0.3486752675
185	0.3484829542
186	0.3483436017
187	0.3481807451
188	0.3479822949
189	0.3478566022
190	0.3477328946
191	0.3475543428
192	0.3473920888
193	0.3472200112
194	0.3470508763
195	0.3469230867
196	0.3467833772
197	0.3466239367
198	0.3465044202
199	0.3462606053
200	0.3461451107
201	0.3460301713
202	0.3458455611
203	0.3457154737
204	0.3456064397
205	0.3454903818
206	0.3453428981
207	0.3451346075
208	0.3449536741
209	0.3448438048
210	0.3447376595
211	0.3445823839
212	0.3444819412
213	0.3443354114
214	0.3442035814
215	0.3441011698
216	0.3439412035
217	0.3437963785
218	0.3437154444
219	0.3436100137
220	0.3434491329
221	0.3432378738
222	0.3431434993
223	0.3429460106
224	0.3428077493
225	0.3426195529
226	0.3425426884
227	0.3423877988
228	0.3422178253
229	0.3420638767
230	0.3419312326
231	0.3417995328
232	0.3416370012
233	0.3414770109
234	0.3413145597
235	0.341195228
236	0.3411220332
237	0.3409637665
238	0.3408296458
239	0.3406637076
240	0.3405145229
241	0.3404062217
242	0.3403093094
243	0.3402543663
244	0.3401373658
245	0.3400165072
246	0.3399291639
247	0.3398104108
248	0.3397006604
249	0.3395812738
250	0.3394213224
251	0.3393264653
252	0.3392541528
253	0.3391480796
254	0.3390654377
255	0.3389366899
256	0.3388636399
257	0.338788874
258	0.3386630501
259	0.3385304735
