iter	Passed	Remaining
0	943	2830484
1	1813	2717812
2	3657	3654010
3	4786	3585224
4	5568	3335382
5	6369	3178522
6	7074	3024665
7	7773	2907379
8	8505	2826519
9	9337	2791781
10	10781	2929554
11	13874	3454827
12	15750	3618918
13	16523	3524158
14	17272	3437217
15	18145	3384135
16	19819	3477811
17	20994	3478101
18	23417	3674086
19	27159	4046804
20	29991	4254518
21	31151	4216750
22	32199	4167772
23	33089	4103039
24	33857	4029002
25	34804	3981093
26	35685	3929415
27	36856	3912046
28	38408	3934839
29	39370	3897681
30	40339	3863507
31	41204	3821718
32	42350	3807690
33	43458	3791082
34	44360	3757972
35	45172	3719168
36	46100	3691798
37	47046	3667186
38	47749	3625251
39	48540	3592022
40	49379	3563748
41	50178	3533977
42	51733	3557569
43	53107	3567876
44	55733	3659824
45	56483	3627230
46	57630	3620923
47	58519	3598925
48	59542	3585934
49	60384	3562684
50	61190	3538248
51	62034	3516885
52	64202	3569928
53	65026	3547565
54	65881	3527674
55	66693	3506197
56	70307	3630106
57	72311	3667932
58	73236	3650641
59	75039	3676940
60	78564	3785245
61	80551	3817089
62	82764	3858393
63	84596	3880866
64	89410	4037217
65	91421	4064084
66	94031	4116339
67	96041	4141104
68	98297	4175491
69	102403	4286299
70	105527	4353365
71	108466	4410953
72	109339	4384077
73	110127	4354491
74	111274	4339720
75	112273	4319565
76	113288	4300556
77	115680	4333587
78	117225	4334384
79	118397	4321502
80	119480	4305717
81	120513	4288530
82	121658	4275651
83	122596	4255854
84	123738	4243498
85	124480	4217851
86	125492	4201845
87	126590	4188988
88	127427	4167889
89	128236	4146305
90	129075	4126153
91	129893	4105779
92	131203	4101171
93	132379	4092506
94	133625	4086124
95	135034	4084780
96	136032	4071154
97	137111	4060188
98	138196	4049584
99	139380	4042043
100	140740	4039668
101	141476	4019598
102	142648	4012149
103	143652	4000183
104	144642	3987999
105	145585	3974754
106	146485	3960575
107	147258	3943268
108	148105	3928194
109	149207	3920077
110	150307	3912045
111	151321	3901927
112	152385	3893235
113	153497	3885917
114	154198	3868363
115	155127	3856799
116	156340	3852387
117	157651	3850434
118	158665	3841303
119	159470	3827280
120	160331	3814836
121	161136	3801235
122	163264	3818798
123	164706	3820135
124	166304	3825013
125	169475	3865644
126	171123	3871164
127	173770	3898982
128	174676	3887563
129	175755	3880137
130	176609	3867891
131	177417	3854790
132	178146	3840203
133	179249	3833801
134	180472	3830022
135	181588	3824050
136	182569	3815293
137	183545	3806582
138	184514	3797812
139	185571	3790956
140	186648	3784595
141	187617	3776134
142	188586	3767765
143	189872	3765813
144	190954	3759820
145	191815	3749593
146	192643	3738849
147	193609	3730906
148	194680	3725056
149	195750	3719253
150	196643	3710181
151	197496	3700455
152	198664	3696724
153	199691	3690403
154	200824	3686097
155	201869	3680230
156	202893	3674047
157	203900	3667623
158	205120	3665073
159	206346	3662649
160	207316	3655723
161	208232	3647920
162	209186	3640866
163	210140	3633890
164	211131	3627621
165	212325	3624881
166	213476	3621429
167	214664	3618632
168	215796	3614903
169	216876	3610348
170	217813	3603471
171	218762	3596864
172	219837	3592368
173	220690	3584324
174	221719	3579193
175	222654	3572586
176	223433	3563579
177	224208	3554590
178	225001	3545977
179	225681	3535682
180	226685	3530538
181	228653	3540352
182	229779	3537097
183	230835	3532785
184	232036	3530714
185	233175	3527719
186	234056	3520861
187	235842	3527606
188	236588	3518779
189	237388	3510846
190	241015	3544574
191	242264	3543124
192	243508	3541600
193	244703	3539376
194	245872	3536777
195	247093	3534948
196	248299	3532911
197	249150	3525858
198	249999	3518838
199	250886	3512414
200	251781	3506153
201	252687	3500093
202	253680	3495288
203	254795	3492193
204	255549	3484202
205	256283	3476000
206	256991	3467521
207	257897	3461775
208	258841	3456582
209	260075	3455282
210	261060	3450694
211	262226	3448528
212	263276	3444836
213	264256	3440267
214	265188	3435112
215	266935	3440497
216	267646	3432533
217	268377	3424892
218	269290	3419616
219	270191	3414236
220	270992	3407640
221	271928	3402780
222	272735	3396355
223	273407	3388305
224	274075	3380258
225	275033	3375850
226	275856	3369823
227	276645	3363427
228	277557	3358562
229	278366	3352496
230	279212	3346921
231	280054	3341336
232	280963	3336589
233	281968	3333010
234	283011	3329900
235	283874	3324705
236	285815	3332098
237	286889	3329367
238	287628	3322765
239	288490	3317643
240	289235	3311208
241	289982	3304839
242	290793	3299253
243	291374	3291097
244	292268	3286534
245	293106	3281363
246	294024	3277119
247	295159	3275323
248	296077	3271120
249	297006	3267076
250	297839	3261996
251	298635	3256553
252	299577	3252720
253	300425	3247903
254	301423	3244730
255	302396	3241309
256	303158	3235653
257	303969	3230554
258	304728	3224942
259	305615	3220715
260	306424	3215700
261	307193	3210289
262	308133	3206694
263	309261	3205073
264	310412	3203689
265	311249	3199088
266	312091	3194557
267	313128	3192036
268	314101	3188890
269	314999	3184996
270	316122	3183392
271	317082	3180151
272	317967	3176178
273	318782	3171534
274	319460	3165566
275	320300	3161226
276	321181	3157314
277	322181	3154594
278	323284	3152892
279	324597	3153232
280	325781	3152309
281	326900	3150766
282	328837	3157073
283	330093	3156812
284	333189	3174070
285	334386	3173161
286	335209	3168725
287	336020	3164196
288	336802	3159420
289	337729	3156025
290	339121	3156980
291	341101	3163367
292	342206	3161613
293	342978	3156801
294	343901	3153400
295	347158	3171344
296	349757	3183148
297	350585	3178799
298	351515	3175393
299	352336	3171029
300	355526	3187924
301	356654	3186271
302	357503	3182134
303	358635	3180532
304	359424	3175901
305	361239	3180324
306	364203	3194788
307	365252	3192399
308	366447	3191299
309	367500	3188959
310	368408	3185375
311	369197	3180782
312	370200	3178044
313	371041	3173937
314	372085	3171584
315	372909	3167367
316	374016	3165574
317	375770	3169232
318	377733	3174621
319	378729	3171861
320	380070	3171986
321	381344	3171556
322	382562	3170650
323	383535	3167719
324	385005	3168889
325	386321	3168786
326	387695	3169142
327	388471	3164621
328	389533	3162443
329	390633	3160582
330	391403	3156057
331	392412	3153480
332	393581	3152194
333	394608	3149776
334	395505	3146335
335	396633	3144739
336	397634	3142135
337	398469	3138241
338	399274	3134125
339	400070	3129965
340	400986	3126752
341	402260	3126340
342	403352	3124514
343	404409	3122420
344	405367	3119564
345	406272	3116320
346	407342	3114347
347	408181	3110621
348	408700	3104481
349	409555	3100919
350	410319	3096687
351	411283	3093969
352	412113	3090266
353	412767	3085263
354	413526	3081062
355	414359	3077435
356	415016	3072517
357	415635	3067341
358	416401	3063273
359	417237	3059744
360	418045	3056018
361	418847	3052263
362	419752	3049277
363	420725	3046789
364	421786	3044954
365	422573	3041143
366	423987	3041847
367	424847	3038580
368	425682	3035148
369	426482	3031486
370	427169	3027027
371	428394	3026401
372	429753	3026712
373	430564	3023158
374	431246	3018728
375	432037	3015070
376	432815	3011342
377	433583	3007557
378	434370	3003915
379	435514	3002756
380	436696	3001857
381	437545	2998674
382	438346	2995174
383	439304	2992759
384	441460	2998491
385	442840	2998925
386	443591	2995104
387	444353	2991368
388	445155	2987917
389	445992	2984716
390	446790	2981266
391	447427	2976764
392	448226	2973352
393	448963	2969543
394	449694	2965707
395	450311	2961141
396	451034	2957287
397	451608	2952477
398	452423	2949255
399	453293	2946410
400	454306	2944494
401	455301	2942470
402	456263	2940239
403	457387	2939052
404	458286	2936425
405	459363	2934949
406	460414	2933305
407	461114	2929433
408	461761	2925241
409	462751	2923235
410	463611	2920411
411	464563	2918178
412	465621	2916616
413	466673	2915019
414	467797	2913871
415	469010	2913275
416	470183	2912433
417	471283	2911132
418	472391	2909887
419	473722	2910011
420	475436	2912471
421	476536	2911161
422	477480	2908906
423	478389	2906439
424	479219	2903507
425	480040	2900525
426	481109	2899051
427	483256	2904054
428	485227	2907973
429	486092	2905250
430	487099	2903382
431	488101	2901490
432	489378	2901235
433	490457	2899799
434	491571	2898575
435	492356	2895417
436	493292	2893153
437	494110	2890207
438	494964	2887479
439	495835	2884861
440	496702	2882227
441	497834	2881135
442	498585	2877837
443	499594	2876046
444	500549	2873941
445	503283	2882029
446	506357	2892014
447	510509	2908080
448	511313	2905035
449	512164	2902264
450	513513	2902317
451	516530	2911769
452	517424	2909228
453	518309	2906641
454	520737	2912694
455	524076	2923793
456	524914	2920913
457	525739	2917969
458	526484	2914589
459	527356	2911925
460	528945	2913217
461	531975	2922412
462	533063	2920913
463	534164	2919484
464	535270	2918087
465	536256	2916041
466	537319	2914412
467	538356	2912648
468	539576	2911871
469	540742	2910806
470	541794	2909124
471	542711	2906725
472	543444	2903347
473	544543	2901931
474	545658	2900605
475	546654	2898645
476	547784	2897400
477	548642	2894720
478	549502	2892058
479	550343	2889303
480	551169	2886475
481	552002	2883697
482	552871	2881111
483	557036	2895667
484	558046	2893787
485	558869	2890941
486	559799	2888656
487	562236	2894134
488	565405	2903337
489	566565	2902205
490	567718	2901029
491	568802	2899503
492	569960	2898358
493	571101	2897128
494	572162	2895490
495	573162	2893548
496	574134	2891468
497	575117	2889446
498	576125	2887552
499	577146	2885734
500	578276	2884458
501	579699	2884638
502	580697	2882706
503	581866	2881624
504	582915	2879949
505	584086	2878878
506	585371	2878366
507	586202	2875623
508	587172	2873568
509	588269	2872136
510	589230	2870048
511	590145	2867737
512	590943	2864865
513	591798	2862279
514	592669	2859776
515	593736	2858217
516	594717	2856253
517	595722	2854405
518	596712	2852490
519	598309	2853473
520	602739	2867928
521	603849	2866548
522	604800	2864418
523	605776	2862408
524	606657	2859955
525	607531	2857478
526	608811	2856909
527	609895	2855418
528	610959	2853836
529	611769	2851078
530	612716	2848959
531	613614	2846618
532	614483	2844145
533	615422	2842006
534	616307	2839622
535	617291	2837697
536	618709	2837767
537	620743	2840652
538	621621	2838240
539	622403	2835392
540	623272	2832952
541	626118	2839483
542	628697	2844768
543	631000	2848779
544	632036	2847065
545	633128	2845599
546	634014	2843214
547	634927	2840951
548	635905	2838989
549	636726	2836325
550	637682	2834274
551	639393	2835571
552	641184	2837213
553	642475	2836634
554	643694	2835734
555	644832	2834477
556	645732	2832182
557	646892	2831022
558	647991	2829599
559	649162	2828493
560	650039	2826106
561	650918	2823734
562	651887	2821760
563	652677	2819011
564	653618	2816923
565	654381	2814070
566	655450	2812543
567	656707	2811818
568	657811	2810438
569	659011	2809470
570	660051	2807817
571	661222	2806727
572	662152	2804613
573	663066	2802438
574	664036	2800503
575	665227	2799499
576	666096	2797144
577	666923	2794618
578	667987	2793085
579	668881	2790848
580	669726	2788413
581	670670	2786395
582	671594	2784293
583	672948	2783978
584	673778	2781493
585	676788	2787997
586	680559	2797596
587	682306	2798850
588	683431	2797544
589	684443	2795776
590	685165	2792830
591	685977	2790260
592	687060	2788792
593	688252	2787769
594	689388	2786519
595	690385	2784710
596	691408	2783004
597	692596	2781966
598	693633	2780321
599	694834	2779339
600	696163	2778861
601	697136	2776966
602	698261	2775675
603	699453	2774652
604	700543	2773225
605	701461	2771121
606	702440	2769257
607	703326	2767034
608	704291	2765125
609	706858	2769495
610	707852	2767692
611	708986	2766439
612	710117	2765173
613	710973	2762836
614	711792	2760367
615	712688	2758195
616	713668	2756355
617	714591	2754298
618	715527	2752293
619	716406	2750076
620	717193	2747509
621	718093	2745379
622	719051	2743477
623	720149	2742108
624	721081	2740108
625	721988	2738020
626	723074	2736613
627	724227	2735459
628	725447	2734557
629	726704	2733794
630	727817	2732489
631	728994	2731423
632	730117	2730153
633	731108	2728394
634	732175	2726922
635	733148	2725100
636	734043	2722989
637	734893	2720719
638	735719	2718363
639	736563	2716077
640	737559	2714355
641	739592	2716446
